full_citation,study,web_of_science,country,mountain,study_spatial_scale,latitude,longitude,historic_year,modern_year,duration,taxa_specific,taxa,thermy,temp_change,expected_shift_given_in_study,lapse_rate,expected_shift,species_level_data,sp_n,sp_n_mean,shift_mean,shift_mean_se,responsiveness_mean,sp_n_lower_limit,shift_lower_limit,shift_lower_limit_se,responsiveness_lower,sp_n_upper,shift_upper_limit,shift_upper_limit_se,responsiveness_upper,weighted_shift,weighted_se,responsiveness,extraction_notes,temp_change_and_exp_shift_notes
"Bassler, C., Hothorn, T., Brandl, R., & M_ller, J. (2013). Insects overshoot the expected upslope shift caused by climate warming. Plos One, 8(6), e65842.",Bassler et al. 2013 hymenoptera,no,Germany,Bavarian forest,regional,48.953336,13.379502,1902-1904,2006-2007,103.5,hymenoptera,arthropod,ectotherm,0.97,yes,provided in study: 0.59 C / 100 m,165,yes,61,NA,NA,NA,NA,NA,NA,NA,NA,61,289.3770492,32.88624344,1.753800298,289.3770492,32.88624344,1.753800298,data for upper elevation shifts presented in Table S1,"Authors report a range of expected range shifts. The point estimate of 50 m (using one historic year and one modern year) is the least believable metric, as the historic year (1903) was abnormally warm and the modern year (2006) abnormally cold. The authors consider different ranges of years (5+) for historic and modern temperatures yields expectations between 130 m and 201 m upslope shift. Here I report the midpoint of this more believable range (= 165 m). Authors report the regional lapse rate as as 0.59 C decrease in temperature per 100 m elevation"
"Bassler, C., Hothorn, T., Brandl, R., & M_ller, J. (2013). Insects overshoot the expected upslope shift caused by climate warming. Plos One, 8(6), e65842.",Bassler et al. 2013 bird,no,Germany,Bavarian forest,regional,48.953336,13.379502,1902-1904,2006-2007,103.5,bird,bird,endotherm,0.97,yes,provided in study: 0.59 C / 100 m,165,yes,57,NA,NA,NA,NA,NA,NA,NA,NA,57,164.6140351,37.22845506,0.997660819,164.6140351,37.22845506,0.997660819,data for upper elevation shifts presented in Table S1,"Authors report a range of expected range shifts. The point estimate of 50 m (using one historic year and one modern year) is the least believable metric, as the historic year (1903) was abnormally warm and the modern year (2006) abnormally cold. The authors consider different ranges of years (5+) for historic and modern temperatures yields expectations between 130 m and 201 m upslope shift. Here I report the midpoint of this more believable range (= 165 m). Authors report the regional lapse rate as as 0.59 C decrease in temperature per 100 m elevation"
"Bassler, C., Hothorn, T., Brandl, R., & M_ller, J. (2013). Insects overshoot the expected upslope shift caused by climate warming. Plos One, 8(6), e65842.",Bassler et al. 2013 plant,no,Germany,Bavarian forest,regional,48.953336,13.379502,1902-1904,2006-2007,103.5,plant,plant,plant,0.97,yes,provided in study: 0.59 C / 100 m,165,yes,164,NA,NA,NA,NA,NA,NA,NA,NA,164,-76.20731707,17.45143209,-0.461862528,-76.20731707,17.45143209,-0.461862528,data for upper elevation shifts presented in Table S1,"Authors report a range of expected range shifts. The point estimate of 50 m (using one historic year and one modern year) is the least believable metric, as the historic year (1903) was abnormally warm and the modern year (2006) abnormally cold. The authors consider different ranges of years (5+) for historic and modern temperatures yields expectations between 130 m and 201 m upslope shift. Here I report the midpoint of this more believable range (= 165 m). Authors report the regional lapse rate as as 0.59 C decrease in temperature per 100 m elevation"
"Rowe, R. J., Finarelli, J. A., & Rickart, E. A. (2010). Range dynamics of small mammals along an elevational gradient over an 80 year interval. Global Change Biology, 16(11), 2930-2943.",Rowe et al. 2010,yes,USA,Ruby Mountains,local,40.621294,-115.469739,1927-1929,2006-2008,81,mammal,mammal,endotherm,1.11,yes,provided in study: 0.5 - 0.98 C / 100 m (used midpoint of 0.74 C / 100 m),177,yes,15,NA,NA,NA,NA,15,25.66666667,31.18633197,0.145009416,15,-61,78.71921167,-0.344632768,-17.66666667,54.95277182,-0.099811676,"data for elevational limit shifts presented in Figure 4, extracted using WebPlotDigitizer","Authors report overall temperature change at state level as 1.11 C increase. They also consider local temperature changes and report that temperatures (particularly summer maximum temperatures) have increased most at low elevations. In Results, the authors also consider various changes in seasonal temperatures (winter, summer). Authors consider a range of lapse rates, from 0.5 to 0.98 C declines per 100 m increase in elevation. They use these to predict increases in range margins at low elevations of 136 - 266 m and at high elevations of 103 - 202 m. The midpoint of these estimates is an expected increase of 177 m."
"Molina Martinez, A., Leon-Cortes, J. L., Regan, H. M., Lewis, O. T., Navarrete, D., Caballero, U., & Luis Martinez, A. (2016). Changes in butterfly distributions and species assemblages on a Neotropical mountain range in response to global warming and anthropogenic land use. Diversity and Distributions, 22(11), 1085-1098.",Molina-Martinez et al. 2016,yes,Mexico,Sierra de Juar_z,local,17.616667,-96.366667,1988,2010-2011,22.5,butterfly,arthropod,ectotherm,0.98,yes,provided in study: 0.52 C / 100 m,190,no,28,28,299,16.43644921,1.573684211,NA,NA,NA,NA,NA,NA,NA,NA,299,16.43644921,1.573684211,data for species shifts reported in Table S1,Authors report that temperatures increased by 1.3 C overall; 1.8 C below 1000 m and .98 above 1000 m. I focus on changes in species found largely above 1000 m so report the 0.98 figure. Authors note this equates to an expected 190 m upslope shift. Authors report local lapse rate as a decline of 0.52 C per 100 m increase in elevation
"Menendez, R., Gonzalez-Megas, A., Jay-Robert, P., & Marquez Ferrando, R. (2014). Climate change and elevational range shifts: evidence from dung beetles in two E uropean mountain ranges. Global Ecology and Biogeography, 23(6), 646-657.",Menendez et al. 2014 Sierra Nevada,yes,Spain,Sierra Nevada,local,37.079187,-3.245654,1981-1982,2006-2007,25,dung beetle,arthropod,ectotherm,1.1,yes,provided in study: 0.61 C / 100 m,205,yes,19,19,320.7894737,72.99121068,1.564826701,19,42.10526316,57.38746398,0.205391528,19,363.1578947,64.07713111,1.771501926,242.0175439,64.81860192,1.180573385,data for species' shifts in Table S3,This value is the average of changes in temperature from three weather stations in each region. Expected shift based on local warming = 164 m; authors report local lapse rate as a decline of 0.61 C per 100 m increase in elevation
"Jump, A. S., Huang, T. J., & Chou, C. H. (2012). Rapid altitudinal migration of mountain plants in Taiwan and its implications for high altitude biodiversity. Ecography, 35(3), 204-210.",Jump et al. 2012,yes,Taiwan,central peaks,regional,23.469894,120.956424,1906-1970,1970-2006,50,plant,plant,plant,1.05,yes,provided in study: 0.50 C / 100 m,210,yes,24,NA,NA,NA,NA,NA,NA,NA,NA,24,213.0416667,64.19706072,1.014484127,213.0416667,64.19706072,1.014484127,data for upper elevation shifts presented in Table 1,"""temperatures in this region have risen by ~ 1.05 C in comparison with the 1934-1970 mean, predicted to result in an upward shift of approximately 210 m based on the regional altitudinal lapse rate of 0.5 C / 100 m"""
"Angelo, C. L., & Daehler, C. C. (2013). Upward expansion of fire adapted grasses along a warming tropical elevation gradient. Ecography, 36(5), 551-559.",Angelo & Daehler 2013,yes,USA,Mauna Loa,local,19.426563,-155.61616,1966,2008,42,plant,plant,plant,0.7,yes,provided in study: 0.30 C / 100 m,267,yes,15,NA,NA,NA,NA,15,-115.5333333,94.69081852,-0.432709114,15,118.7333333,151.9185078,0.444694132,1.6,123.3046632,0.005992509,"data for elevational limit shifts presented in Figures 5 and 6, extracted using WebPlotDigitizer",Temperature change calculated as difference in mean annual temperature at multiple sites near study area; observed temperature change noted to equate to an expected upslope shift of 233 - 300 m (lapse rate below 1500 m on Big Island of Hawaii noted as 0.3 C decrease in temperature per 100 m elevation). I used the midpoint of this range as the expected shift (= 267 m)
"Le Roux, P. C., & McGeoch, M. A. (2008). Rapid range expansion and community reorganization in response to warming. Global Change Biology, 14(12), 2950-2962.",Le Roux & McGeoch 2008,yes,South Africa,Marion Island,local,-46.904215,37.741627,1965-1966,2005-2007,40.5,plant,plant,plant,1.2,yes,provided in study: 0.42 C / 100 m,284,yes,21,NA,NA,NA,NA,NA,NA,NA,NA,21,69.61904762,29.89349955,0.245137492,69.61904762,29.89349955,0.245137492,data for shift at species' upper limits reported in Table 1,Authors report change in mean annual temperature measured on island and an expected shift of 284 m upslope.
"Kirchman, J. J., & Van Keuren, A. E. (2017). Altitudinal range shifts of birds at the southern periphery of the boreal forest: 40 years of change in the Adirondack Mountains. The Wilson Journal of Ornithology, 129(4), 742-753.",Kirchman & van Keuren 2017,yes,USA,Whiteface Mountain,local,44.364896,-73.905393,1974,2014-2015,40.5,bird,bird,endotherm,2.18,yes,provided in study: 0.58 C / 100 m,374,yes,42,42,82.82857143,16.96480208,0.221466769,23,79.34782609,30.25958893,0.212159963,35,122.1428571,31.26821198,0.32658518,95.788,25.02879652,0.256117647,data for shifts at mean elevation and elevational limits reported in Table 1,"Average daily minimum temperature at this site has risen 2.46 C over this timespan, while average daily maximum temperature at this site has risen 1.88 C over this timespan. I used the midpoint of these two metrics = 2.18 C. Authors calculate that this amount of warming equates to an upslope shift of 324 and 424 m for maximum and minimum temperatures (=374 m expected shift for midpoint of max and min temp increases). Lapse rate given as decline of 0.58 C per increase of 100 m elevation. "
"Raxworthy, C. J., Pearson, R. G., Rabibisoa, N., Rakotondrazafy, A. M., Ramanamanjato, J. B., Raselimanana, A. P., ... & Stone, D. A. (2008). Extinction vulnerability of tropical montane endemism from warming and upslope displacement: a preliminary appraisal for the highest massif in Madagascar. Global Change Biology, 14(8), 1703-1720.",Raxworthy et al. 2008 frog,yes,Madagascar,Tsaratanana Mountain,local,-13.998943,48.831243,1993,2003,10,frog,amphibian,ectotherm,0.235,yes,study assumed lapse rate of 0.55 C / 100 m,45.5,yes,19,NA,NA,NA,NA,19,136.3157895,62.0422914,2.995951417,19,49.21052632,48.33373133,1.081550029,92.76315789,55.18801136,2.038750723,data for shifts at species' limits and mean elevations (for a small subset) presented in Table 1,This value is the midpoint of different estimates of the amount of warming (estimates range from 0.1 to 0.37). Authors report that this temperature increase equates to an expected upslope shift of 17 to 74 m (midpoint of these two == 45.5 m); they assume lapse rates of either 0.5 or 0.6 C decline with 100 m increase in elevation.
"Raxworthy, C. J., Pearson, R. G., Rabibisoa, N., Rakotondrazafy, A. M., Ramanamanjato, J. B., Raselimanana, A. P., ... & Stone, D. A. (2008). Extinction vulnerability of tropical montane endemism from warming and upslope displacement: a preliminary appraisal for the highest massif in Madagascar. Global Change Biology, 14(8), 1703-1720.",Raxworthy et al. 2008 reptile,yes,Madagascar,Tsaratanana Mountain,local,-13.998943,48.831243,1993,2003,10,lizard,reptile,ectotherm,0.235,yes,study assumed lapse rate of 0.55 C / 100 m,45.5,yes,11,NA,NA,NA,NA,11,-27.72727273,31.95425449,-0.609390609,11,72.72727273,34.98937265,1.598401598,22.5,33.47181357,0.494505495,data for shifts at species' limits and mean elevations (for a small subset) presented in Table 1,This value is the midpoint of different estimates of the amount of warming (estimates range from 0.1 to 0.37). Authors report that this temperature increase equates to an expected upslope shift of 17 to 74 m (midpoint of these two == 45.5 m); they assume lapse rates of either 0.5 or 0.6 C decline with 100 m increase in elevation.
"Massimino, D., Johnston, A., & Pearce-Higgins, J. W. (2015). The geographical range of British birds expands during 15 years of warming. Bird Study, 62(4), 523-534.",Massimino et al. 2015,yes,Great Britain,entire country,regional,53.408198,-1.613148,1994,2009,15,bird,bird,endotherm,0.59,yes,expected shifts provided but not lapse rate,63,yes (provided by authors upon request),49,44,-18.68181818,12.40906768,-0.296536797,3,15.33333333,16.59651905,0.243386243,49,2.081632653,6.578854289,0.033041788,-7.020833333,9.564087449,-0.111441799,"data for optimum elevation shift (here coded as ""mean elevation shift"") reported in main text",Authors report warming and expected shifts in text.
"Hickling, R., Roy, D. B., Hill, J. K., Fox, R., & Thomas, C. D. (2006). The distributions of a wide range of taxonomic groups are expanding polewards. Global change biology, 12(3), 450-455.",Hickling et al. 2006 harvestmen,no,Great Britain,entire country,regional,53.408198,-1.613148,1965-1975,1985-1995,20,harvestmen,arthropod,ectotherm,0.348,yes,expected shifts provided by Chen et al. 2011 ,63.3,no,4,4,35.8,11.22,0.565560821,NA,NA,NA,NA,NA,NA,NA,NA,35.8,11.22,0.565560821,data for mean elevation shift reported in Table 1,Not reported in paper; I used the values for expected shifts from this study previously reported in the Chen et al. 2011 Science paper. I then back-calculated temperature change using an assumed lapse rate of 0.55 C / 100 m
"Hickling, R., Roy, D. B., Hill, J. K., Fox, R., & Thomas, C. D. (2006). The distributions of a wide range of taxonomic groups are expanding polewards. Global change biology, 12(3), 450-455.",Hickling et al. 2006 grasshopper,no,Great Britain,entire country,regional,53.408198,-1.613148,1960-1970,1985-1995,25,grasshoppers & allies,arthropod,ectotherm,0.41,yes,expected shifts provided by Chen et al. 2011 ,75,no,22,22,30.5,7.48,0.406666667,NA,NA,NA,NA,NA,NA,NA,NA,30.5,7.48,0.406666667,data for mean elevation shift reported in Table 1,Not reported in paper; I used the values for expected shifts from this study previously reported in the Chen et al. 2011 Science paper. I then back-calculated temperature change using an assumed lapse rate of 0.55 C / 100 m
"Hickling, R., Roy, D. B., Hill, J. K., Fox, R., & Thomas, C. D. (2006). The distributions of a wide range of taxonomic groups are expanding polewards. Global change biology, 12(3), 450-455.",Hickling et al. 2006 longhorn beetle,no,Great Britain,entire country,regional,53.408198,-1.613148,1960-1970,1985-1995,25,longhorn beetles,arthropod,ectotherm,0.41,yes,expected shifts provided by Chen et al. 2011 ,75,no,11,11,39.3,9.24,0.524,NA,NA,NA,NA,NA,NA,NA,NA,39.3,9.24,0.524,data for mean elevation shift reported in Table 1,Not reported in paper; I used the values for expected shifts from this study previously reported in the Chen et al. 2011 Science paper. I then back-calculated temperature change using an assumed lapse rate of 0.55 C / 100 m
"Hickling, R., Roy, D. B., Hill, J. K., Fox, R., & Thomas, C. D. (2006). The distributions of a wide range of taxonomic groups are expanding polewards. Global change biology, 12(3), 450-455.",Hickling et al. 2006 woodlice,no,Great Britain,entire country,regional,53.408198,-1.613148,1960-1970,1985-1995,25,woodlice,arthropod,ectotherm,0.41,yes,expected shifts provided by Chen et al. 2011 ,75,no,8,8,55.3,12.02,0.737333333,NA,NA,NA,NA,NA,NA,NA,NA,55.3,12.02,0.737333333,data for mean elevation shift reported in Table 1,Not reported in paper; I used the values for expected shifts from this study previously reported in the Chen et al. 2011 Science paper. I then back-calculated temperature change using an assumed lapse rate of 0.55 C / 100 m
"Hickling, R., Roy, D. B., Hill, J. K., Fox, R., & Thomas, C. D. (2006). The distributions of a wide range of taxonomic groups are expanding polewards. Global change biology, 12(3), 450-455.",Hickling et al. 2006 dragonfly,no,Great Britain,entire country,regional,53.408198,-1.613148,1960-1970,1985-1995,25,dragonfly & damselfly,arthropod,ectotherm,0.41,yes,expected shifts provided by Chen et al. 2011 ,75,no,20,20,61.9,13.08,0.825333333,NA,NA,NA,NA,NA,NA,NA,NA,61.9,13.08,0.825333333,data for mean elevation shift reported in Table 1,Not reported in paper; I used the values for expected shifts from this study previously reported in the Chen et al. 2011 Science paper. I then back-calculated temperature change using an assumed lapse rate of 0.55 C / 100 m
"Hickling, R., Roy, D. B., Hill, J. K., Fox, R., & Thomas, C. D. (2006). The distributions of a wide range of taxonomic groups are expanding polewards. Global change biology, 12(3), 450-455.",Hickling et al. 2006 herptile,no,Great Britain,entire country,regional,53.408198,-1.613148,1960-1970,1985-1995,25,herptiles,amphibian,ectotherm,0.41,yes,expected shifts provided by Chen et al. 2011 ,75,no,3,3,-33,27.14,-0.44,NA,NA,NA,NA,NA,NA,NA,NA,-33,27.14,-0.44,"data for mean elevation shift reported in Table 1; note that this category lumps together amphibians and reptiles. With no raw data I can't break this into more natural groups. I have coded this study on the map as ""amphibian""",Not reported in paper; I used the values for expected shifts from this study previously reported in the Chen et al. 2011 Science paper. I then back-calculated temperature change using an assumed lapse rate of 0.55 C / 100 m
"Hickling, R., Roy, D. B., Hill, J. K., Fox, R., & Thomas, C. D. (2006). The distributions of a wide range of taxonomic groups are expanding polewards. Global change biology, 12(3), 450-455.",Hickling et al. 2006 mammal,no,Great Britain,entire country,regional,53.408198,-1.613148,1960-1970,1985-1995,25,mammal,mammal,endotherm,0.41,yes,expected shifts provided by Chen et al. 2011 ,75,no,9,9,31,27.7,0.413333333,NA,NA,NA,NA,NA,NA,NA,NA,31,27.7,0.413333333,data for mean elevation shift reported in Table 1,Not reported in paper; I used the values for expected shifts from this study previously reported in the Chen et al. 2011 Science paper. I then back-calculated temperature change using an assumed lapse rate of 0.55 C / 100 m
"Freeman, B. G., & Freeman, A. M. C. (2014). Rapid upslope shifts in New Guinean birds illustrate strong distributional responses of tropical montane species to global warming. Proceedings of the National Academy of Sciences, 111(12), 4490-4494.",Freeman & Class Freeman 2014 Karkar,yes,Papua New Guinea,Karkar Island,local,-4.657421,145.969358,1969,2013,44,bird,bird,endotherm,0.45,yes,same study reported lapse rate of 0.51 C / 100 m for nearby site,76,yes,26,NA,NA,NA,NA,6,177.8333333,91.21491715,2.339912281,26,138.8846154,33.73025699,1.82742915,146.1875,44.50863077,1.923519737,data taken from Table S2 which provides species-level information,Temperature changes calculated using CRU data; Expected shift reported in text using measured lapse rate for Mt. Karimui ( 0.51 C decrease in temperature per 100 m elevation)
"Hickling, R., Roy, D. B., Hill, J. K., Fox, R., & Thomas, C. D. (2006). The distributions of a wide range of taxonomic groups are expanding polewards. Global change biology, 12(3), 450-455.",Hickling et al. 2006 aquatic bug,no,Great Britain,entire country,regional,53.408198,-1.613148,1970-1980,1990-2000,20,aquatic bug,arthropod,ectotherm,0.495,yes,expected shifts provided by Chen et al. 2011 ,90,no,14,14,19.2,8.49,0.213333333,NA,NA,NA,NA,NA,NA,NA,NA,19.2,8.49,0.213333333,data for mean elevation shift reported in Table 1,Not reported in paper; I used the values for expected shifts from this study previously reported in the Chen et al. 2011 Science paper. I then back-calculated temperature change using an assumed lapse rate of 0.55 C / 100 m
"Konvicka, M., Maradova, M., Benes, J., Fric, Z., & Kepka, P. (2003). Uphill shifts in distribution of butterflies in the Czech Republic: effects of changing climate detected on a regional scale. Global ecology and biogeography, 12(5), 403-410.",Konvicka et al. 2003,yes,Czech Republic,entire country,regional,49.796066,15.513383,1951-1980,1995-2001,32.5,butterfly,arthropod,ectotherm,0.56,yes,expected shifts provided by Chen et al. 2011 ,93.5,no,117,117,7.8,2.1,0.08342246,NA,NA,NA,NA,NA,NA,NA,NA,7.8,2.1,0.08342246,"data from Chen et al. 2011 Science. The original paper provides only estimated shifts for the small number of species for which shifts were significant, but also provides the sample size of total species studied. Chen and colleagues set shifts to equal zero for all non-significant species, and then calculated an overall average shift. ",expected shift taken from Chen et al. 2011 Science
"Hickling, R., Roy, D. B., Hill, J. K., Fox, R., & Thomas, C. D. (2006). The distributions of a wide range of taxonomic groups are expanding polewards. Global change biology, 12(3), 450-455.",Hickling et al. 2006 lacewing,no,Great Britain,entire country,regional,53.408198,-1.613148,1965-1975,1990-2000,25,lacewing,arthropod,ectotherm,0.596,yes,expected shifts provided by Chen et al. 2011 ,108.3,no,6,6,7.4,13.46,0.068328717,NA,NA,NA,NA,NA,NA,NA,NA,7.4,13.46,0.068328717,data for mean elevation shift reported in Table 1,Not reported in paper; I used the values for expected shifts from this study previously reported in the Chen et al. 2011 Science paper. I then back-calculated temperature change using an assumed lapse rate of 0.55 C / 100 m
